团购名,店名,团购活动ID,团购介绍,购买人数,团购评价,评价人数,到期时间,团购价,市场价,地址,团购内容,备注,购买须知
祯品御尚煌2人套餐,祯品御尚煌三汁焖锅,39634767,仅售78元价值142元3-4人餐！,3,暂无评价,暂无评价,2018/8/30,78,142,【西安市未央区未央路盛龙广场B区4单元6楼40604室】,【内容: 清远鸡 规格: 1份 价格: 108元】,随便退,"【有效期2017年09月14日至2018年08月30日】
【可用时间周末法定节假日通用16:00 - 23:00周六、周末:11:30—23:00】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠每张糯米券不限使用人数每次消费不限使用糯米券张数可叠加使用仅限大厅使用无包间】
【温馨提示本单仅限堂食不可外带商家免费提供餐后打包服务】
【有效期2017年09月14日至2018年08月30日】
【可用时间周末法定节假日通用16:00 - 23:00周六、周末:11:30—23:00】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠每张糯米券不限使用人数每次消费不限使用糯米券张数可叠加使用仅限大厅使用无包间】
【温馨提示本单仅限堂食不可外带商家免费提供餐后打包服务】
"
祯品御尚煌3-4人套餐,祯品御尚煌三汁焖锅,39638361,仅售108元价值223元3-4人餐！,1,5,1,2018/8/30,108,223,【西安市未央区未央路盛龙广场B区4单元6楼40604室】,【内容: 清远鸡 规格: 1份 价格: 30元】,随便退,"【有效期2017年09月15日至2018年08月30日】
【可用时间周末法定节假日通用16:00 - 23:00周六、周末:11:30—23:00】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠每张糯米券不限使用人数每次消费不限使用糯米券张数可叠加使用仅限大厅使用无包间】
【温馨提示本单仅限堂食不可外带商家免费提供餐后打包服务】
【有效期2017年09月15日至2018年08月30日】
【可用时间周末法定节假日通用16:00 - 23:00周六、周末:11:30—23:00】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠每张糯米券不限使用人数每次消费不限使用糯米券张数可叠加使用仅限大厅使用无包间】
【温馨提示本单仅限堂食不可外带商家免费提供餐后打包服务】
"
祯品御尚煌经典3-4人套餐,祯品御尚煌三汁焖锅,39638406,仅售148元价值289元3-4人餐！,2,暂无评价,暂无评价,2018/8/30,148,289,【西安市未央区未央路盛龙广场B区4单元6楼40604室】,【内容: 牛蛙 规格: 1份 价格: 35元】,随便退,"【有效期2017年09月15日至2018年08月30日】
【可用时间周末法定节假日通用16:00 - 23:00周六、周末:11:30—23:00】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠每张糯米券不限使用人数每次消费不限使用糯米券张数可叠加使用仅限大厅使用无包间】
【温馨提示本单仅限堂食不可外带商家免费提供餐后打包服务】
【有效期2017年09月15日至2018年08月30日】
【可用时间周末法定节假日通用16:00 - 23:00周六、周末:11:30—23:00】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠每张糯米券不限使用人数每次消费不限使用糯米券张数可叠加使用仅限大厅使用无包间】
【温馨提示本单仅限堂食不可外带商家免费提供餐后打包服务】
"
3-4人套餐！,祯品御尚煌三汁焖锅,39638619,仅售218元价值437元3-4人餐！,3,暂无评价,暂无评价,2018/8/30,218,437,【西安市未央区未央路盛龙广场B区4单元6楼40604室】,【内容: 鲜虾 规格: 1份 价格: 42元】,随便退,"【有效期2017年09月16日至2018年08月30日】
【可用时间周末法定节假日通用16:00 - 23:00周六、周末:11:30—23:00】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠每张糯米券不限使用人数每次消费不限使用糯米券张数可叠加使用仅限大厅使用无包间】
【温馨提示本单仅限堂食不可外带商家免费提供餐后打包服务】
【有效期2017年09月16日至2018年08月30日】
【可用时间周末法定节假日通用16:00 - 23:00周六、周末:11:30—23:00】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠每张糯米券不限使用人数每次消费不限使用糯米券张数可叠加使用仅限大厅使用无包间】
【温馨提示本单仅限堂食不可外带商家免费提供餐后打包服务】
"
祯品御尚煌3-4人套餐,祯品御尚煌三汁焖锅,37985414,仅售108元价值216元3-4人餐！,16,4.2,5,2018/8/30,108,216,【西安市未央区未央路盛龙广场B区4单元6楼40604室】,【内容: 清远鸡 规格: 1份 价格: 30元】,随便退,"【有效期2017年03月27日至2018年08月30日】
【可用时间周末法定节假日通用16:00 - 23:00周六、周末:11:30—23:00】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠每张糯米券不限使用人数每次消费不限使用糯米券张数可叠加使用仅限大厅使用无包间】
【温馨提示本单仅限堂食不可外带商家免费提供餐后打包服务】
【有效期2017年03月27日至2018年08月30日】
【可用时间周末法定节假日通用16:00 - 23:00周六、周末:11:30—23:00】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠每张糯米券不限使用人数每次消费不限使用糯米券张数可叠加使用仅限大厅使用无包间】
【温馨提示本单仅限堂食不可外带商家免费提供餐后打包服务】
"
长丰园店100元代金券！可叠加使用！节假日通用店内提供免费WiFi免费WiFi！,老北京铜锅涮肉(长丰园店),7401909,仅售79元价值100元长丰园店代金券！可叠加使用！节假日通用店内提供免费WiFi免费WiFi！,792,4.6,66,2018/8/26,79,100,【西安市雁塔区长安西路长丰园小区通邮路十字西南角】【郑州市二七区保全街167号保全街与庆丰街交叉口向东50米路北】,【内容: 代金券 规格: 1张 价格: 100元】,随便退,"【有效期2015年12月03日至2018年08月26日】
【可用时间如下指定日期2016-02-06到2016-02-13不可使用11:00 - 22:00】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠每张糯米券不限使用人数每次消费至多可使用3张糯米券本单仅限大厅使用代金券不兑现、不找零超出部分到店另付】
【温馨提示提供免费WiFi本单堂食外带均可商家免费提供餐后打包服务】
【有效期2015年12月03日至2018年08月26日】
【可用时间如下指定日期2016-02-06到2016-02-13不可使用11:00 - 22:00】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠每张糯米券不限使用人数每次消费至多可使用3张糯米券本单仅限大厅使用代金券不兑现、不找零超出部分到店另付】
【温馨提示提供免费WiFi本单堂食外带均可商家免费提供餐后打包服务】
"
老北京涮羊肉精品4人餐,老北京涮羊肉(文理学院和馨苑店),40613484,仅售99元?价值206元4人餐！免费WiFi！,13,暂无评价,暂无评价,2019/1/7,99,206,【西安市雁塔区朱雀大街250号东方大酒店西门斜对面（子午路站下车向北走60米路西）】【西安市雁塔区太白南路212号西安文理学院太白校区餐厅】,【内容: 涮锅养生锅底 规格: 1份 价格: 25元】【内容: 羊腿肉卷 规格: 1份 价格: 38元】【内容: 猪五花涮肉 规格: 1份 价格: 28元】【内容: 菌类拼盘 规格: 1份 价格: 22元】【内容: 功夫笋片 规格: 1份 价格: 16元】【内容: 功夫黄瓜 规格: 1份 价格: 18元】【内容: 水晶粉丝 规格: 1份 价格: 12元】【内容: 蔬菜拼盘 规格: 1份 价格: 22元】【内容: 龙须面 规格: 1份 价格: 5元】【内容: 传统料碗 规格: 4份 价格: 20元】,随便退,"【有效期2017年12月22日至2019年01月07日】
【可用时间周末法定节假日通用11:00 - 13:00;17:00 - 22:00】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠每张糯米券限4人使用超出收费标准：按当时店内实际价格收取费用每次消费至多可使用1张糯米券仅限大厅使用无包间】
【温馨提示提供免费WiFi本单堂食外带均可商家免费提供餐后打包服务】
【有效期2017年12月22日至2019年01月07日】
【可用时间周末法定节假日通用11:00 - 13:00;17:00 - 22:00】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠每张糯米券限4人使用超出收费标准：按当时店内实际价格收取费用每次消费至多可使用1张糯米券仅限大厅使用无包间】
【温馨提示提供免费WiFi本单堂食外带均可商家免费提供餐后打包服务】
"
老北京涮羊肉优质双人餐！免费WiFi！,老北京涮羊肉(文理学院和馨苑店),40613654,仅售55元价值119元老北京涮羊肉优质双人餐！免费WiFi！,3,暂无评价,暂无评价,2019/1/7,55,119,【西安市雁塔区朱雀大街250号东方大酒店西门斜对面（子午路站下车向北走60米路西）】【西安市雁塔区太白南路212号西安文理学院太白校区餐厅】,【内容: 涮锅养生锅底 规格: 1份 价格: 25元】【内容: 羊腿肉卷 规格: 1份 价格: 38元】【内容: 功夫笋片 规格: 1份 价格: 16元】【内容: 功夫黄瓜 规格: 1份 价格: 18元】【内容: 水晶粉丝 规格: 1份 价格: 12元】【内容: 传统料碗 规格: 2份 价格: 10元】,随便退,"【有效期2017年12月22日至2019年01月07日】
【可用时间周末法定节假日通用11:00 - 13:00;17:00 - 22:00】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠每张糯米券限2人使用超出收费标准：按当时店内实际价格收取费用每次消费至多可使用1张糯米券仅限大厅使用无包间】
【温馨提示提供免费WiFi本单堂食外带均可商家免费提供餐后打包服务】
【有效期2017年12月22日至2019年01月07日】
【可用时间周末法定节假日通用11:00 - 13:00;17:00 - 22:00】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠每张糯米券限2人使用超出收费标准：按当时店内实际价格收取费用每次消费至多可使用1张糯米券仅限大厅使用无包间】
【温馨提示提供免费WiFi本单堂食外带均可商家免费提供餐后打包服务】
"
北京涮羊肉100元代金券,老北京涮羊肉(文理学院和馨苑店),40613752,仅售89元价值100元代金券！可叠加使用免费WiFi！,5,暂无评价,暂无评价,2019/1/6,79,100,【西安市雁塔区朱雀大街250号东方大酒店西门斜对面（子午路站下车向北走60米路西）】【西安市雁塔区太白南路212号西安文理学院太白校区餐厅】,【内容: 代金券 规格: 1张 价格: 100元】,随便退,"【有效期2017年12月22日至2019年01月06日】
【可用时间周末法定节假日通用11:00 - 13:00;17:00 - 22:00】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠每张糯米券不限使用人数每次消费不限使用糯米券张数可叠加使用仅限大厅使用无包间代金券不兑现、不找零超出部分到店另付】
【温馨提示提供免费WiFi本单堂食外带均可商家免费提供餐后打包服务】
【有效期2017年12月22日至2019年01月06日】
【可用时间周末法定节假日通用11:00 - 13:00;17:00 - 22:00】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠每张糯米券不限使用人数每次消费不限使用糯米券张数可叠加使用仅限大厅使用无包间代金券不兑现、不找零超出部分到店另付】
【温馨提示提供免费WiFi本单堂食外带均可商家免费提供餐后打包服务】
"
码头故事100元代金券,码头故事(阎良店),38051228,仅售85元价值100元代金券！免费WiFi！,1589,4.4,28,2018/8/31,85,100,【西安市阎良区前进东路城建东航花园A号商业楼1-2层】【郑州市新密市溱水路未来城市花园邮政银行隔壁】,【内容: 代金券 规格: 1张 价格: 100元】,随便退,"【有效期2017年03月29日至2018年08月31日】
【可用时间周末法定节假日通用10:00 - 22:00】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠每张糯米券不限使用人数每次消费不限使用糯米券张数可叠加使用仅限大厅使用无包间代金券不兑现、不找零超出部分到店另付只限菜品不含锅底酒水小吃油碟飞饼】
【温馨提示提供免费WiFi本单仅限堂食不可外带商家不提供餐后打包服务】
【有效期2017年03月29日至2018年08月31日】
【可用时间周末法定节假日通用10:00 - 22:00】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠每张糯米券不限使用人数每次消费不限使用糯米券张数可叠加使用仅限大厅使用无包间代金券不兑现、不找零超出部分到店另付只限菜品不含锅底酒水小吃油碟飞饼】
【温馨提示提供免费WiFi本单仅限堂食不可外带商家不提供餐后打包服务】
"
王李记100元代金券,王李记冷锅串串(长乐坊总店),5616395,仅售88元价值100元长乐坊店代金券！可叠加使用！节假日通用免费WiFi免费WiFi！,2688,4.9,263,2018/8/14,88,100,【西安市碑林区二环路沿线商业经济带长乐坊（长乐家园底商）】,【内容: 代金券 规格: 1张 价格: 100元】,随便退,"【有效期2015年09月22日至2018年08月14日】
【可用时间周末法定节假日通用17:00 - 次日00:30】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠每张糯米券不限使用人数每次消费不限使用糯米券张数可叠加使用本单仅限大厅使用代金券不兑现、不找零超出部分到店另付】
【温馨提示提供免费WiFi本单堂食外带均可商家提供餐后打包服务需另付 1元/个打包盒】
【有效期2015年09月22日至2018年08月14日】
【可用时间周末法定节假日通用17:00 - 次日00:30】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠每张糯米券不限使用人数每次消费不限使用糯米券张数可叠加使用本单仅限大厅使用代金券不兑现、不找零超出部分到店另付】
【温馨提示提供免费WiFi本单堂食外带均可商家提供餐后打包服务需另付 1元/个打包盒】
"
王李记50元代金券,王李记冷锅串串(长乐坊总店),5615418,仅售45元价值50元长乐坊店代金券！节假日通用店内提供免费无线WiFi免费WiFi！,1631,4.8,203,2018/8/14,45,50,【西安市碑林区二环路沿线商业经济带长乐坊（长乐家园底商）】,【内容: 代金券 规格: 1张 价格: 50元】,随便退,"【有效期2015年09月22日至2018年08月14日】
【可用时间周末法定节假日通用17:00 - 次日00:30】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠每张糯米券不限使用人数每次消费不限使用糯米券张数可叠加使用本单仅限大厅使用代金券不兑现、不找零超出部分到店另付】
【温馨提示提供免费WiFi本单堂食外带均可商家提供餐后打包服务需另付 1元/个打包盒】
【有效期2015年09月22日至2018年08月14日】
【可用时间周末法定节假日通用17:00 - 次日00:30】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠每张糯米券不限使用人数每次消费不限使用糯米券张数可叠加使用本单仅限大厅使用代金券不兑现、不找零超出部分到店另付】
【温馨提示提供免费WiFi本单堂食外带均可商家提供餐后打包服务需另付 1元/个打包盒】
"
迷你情侣餐10选10！免费WiFi！,牛员外鲜牛肉火锅(长安广场店),38193323,仅售88元价值248元迷你情侣餐10选10！免费WiFi！,148,4.7,25,2018/8/21,88,248,【西安市长安区长安广场步行街北口长百新市生活广场2层】,【内容: 牛骨养生锅 规格: 1份 价格: 38元】,随便退,"【有效期2017年04月15日至2018年08月21日】
【可用时间周末法定节假日通用11:00 - 22:00】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠每张糯米券不限使用人数每次消费不限使用糯米券张数可叠加使用仅限大厅使用无包间团购用户不可同时享受商家其他优惠酒水饮料等问题请致电商家咨询以商家反馈为准】
【温馨提示无停车位提供免费WiFi本单堂食外带均可商家提供餐后打包服务需另付 2元/个打包盒】
【有效期2017年04月15日至2018年08月21日】
【可用时间周末法定节假日通用11:00 - 22:00】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠每张糯米券不限使用人数每次消费不限使用糯米券张数可叠加使用仅限大厅使用无包间团购用户不可同时享受商家其他优惠酒水饮料等问题请致电商家咨询以商家反馈为准】
【温馨提示无停车位提供免费WiFi本单堂食外带均可商家提供餐后打包服务需另付 2元/个打包盒】
"
玩味音乐海鲜单人午餐自助,玩味音乐海鲜自助火锅,39384922,仅售58元价值59元单人午餐自助1份！免费WiFi！,26707,4.7,48,2018/8/27,58,59,【西安市雁塔区小寨十字东北角赛格国际购物广场8楼】,【内容: 单人午餐自助 规格: 1份 价格: 59元】,随便退,"【有效期2017年08月26日至2018年08月27日】
【可用时间周末法定节假日通用11:00 - 16:20】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠每张糯米券限1人使用每次消费不限使用糯米券张数可叠加使用自助餐仅限堂食不提供打包服务部分菜品因时令原因有所不同请以店内当日实际供应为准温馨提示：1.店内锅底（单人单锅）、酒水饮料全部免费让您畅嗨；】
【温馨提示提供免费WiFi】
【有效期2017年08月26日至2018年08月27日】
【可用时间周末法定节假日通用11:00 - 16:20】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠每张糯米券限1人使用每次消费不限使用糯米券张数可叠加使用自助餐仅限堂食不提供打包服务部分菜品因时令原因有所不同请以店内当日实际供应为准温馨提示：1.店内锅底（单人单锅）、酒水饮料全部免费让您畅嗨；】
【温馨提示提供免费WiFi】
"
牛员外火锅100元代金券,牛员外鲜牛肉火锅(长安广场店),38193008,仅售49.9元价值100元代金券！除锅底料碗小吃酒水饮料外全场通用可叠加使用免费WiFi！,1495,4.4,89,2018/8/16,49.9,100,【西安市长安区长安广场步行街北口长百新市生活广场2层】,【内容: 代金券 规格: 1张 价格: 100元】,随便退,"【有效期2017年04月17日至2018年08月16日】
【可用时间周末法定节假日通用10:30 - 22:00】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠每张糯米券不限使用人数每次消费不限使用糯米券张数可叠加使用仅限大厅使用无包间代金券不兑现、不找零超出部分到店另付团购用户不可同时享受商家其他优惠酒水饮料等问题请致电商家咨询以商家反馈为准】
【温馨提示无停车位提供免费WiFi本单堂食外带均可商家提供餐后打包服务需另付 2元/个打包盒】
【有效期2017年04月17日至2018年08月16日】
【可用时间周末法定节假日通用10:30 - 22:00】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠每张糯米券不限使用人数每次消费不限使用糯米券张数可叠加使用仅限大厅使用无包间代金券不兑现、不找零超出部分到店另付团购用户不可同时享受商家其他优惠酒水饮料等问题请致电商家咨询以商家反馈为准】
【温馨提示无停车位提供免费WiFi本单堂食外带均可商家提供餐后打包服务需另付 2元/个打包盒】
"
玩味音乐海鲜单人晚餐自助,玩味音乐海鲜自助火锅,39384967,仅售68元价值69元单人晚餐自助1份！免费WiFi！,29182,4.6,39,2018/8/27,68,69,【西安市雁塔区小寨十字东北角赛格国际购物广场8楼】,【内容: 单人晚餐自助 规格: 1份 价格: 69元】,随便退,"【有效期2017年08月26日至2018年08月27日】
【可用时间周末法定节假日通用16:30 - 21:20】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠每张糯米券限1人使用每次消费不限使用糯米券张数可叠加使用自助餐仅限堂食不提供打包服务部分菜品因时令原因有所不同请以店内当日实际供应为准温馨提示：1.店内锅底（单人单锅）、酒水饮料全部免费让您畅嗨；】
【温馨提示提供免费WiFi】
【有效期2017年08月26日至2018年08月27日】
【可用时间周末法定节假日通用16:30 - 21:20】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠每张糯米券限1人使用每次消费不限使用糯米券张数可叠加使用自助餐仅限堂食不提供打包服务部分菜品因时令原因有所不同请以店内当日实际供应为准温馨提示：1.店内锅底（单人单锅）、酒水饮料全部免费让您畅嗨；】
【温馨提示提供免费WiFi】
"
牛员外牛气冲天4人套餐,牛员外鲜牛肉火锅(长安广场店),38193329,仅售248元价值422元牛气冲天4人套餐19选19！免费WiFi！,84,4.7,9,2018/11/23,223,422,【西安市长安区长安广场步行街北口长百新市生活广场2层】,【内容: 高钙滋补锅 规格: 1份 价格: 42元】,随便退,"【有效期2017年04月17日至2018年11月23日】
【可用时间周末法定节假日通用10:30 - 22:00】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠每张糯米券不限使用人数每次消费不限使用糯米券张数可叠加使用仅限大厅使用无包间团购用户不可同时享受商家其他优惠酒水饮料等问题请致电商家咨询以商家反馈为准如部分菜品因时令或其他不可抗因素导致无法提供店内会用等价菜品替换具体事宜请与店内协商】
【温馨提示无停车位提供免费WiFi本单堂食外带均可商家提供餐后打包服务需另付 2元/个打包盒】
【有效期2017年04月17日至2018年11月23日】
【可用时间周末法定节假日通用10:30 - 22:00】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠每张糯米券不限使用人数每次消费不限使用糯米券张数可叠加使用仅限大厅使用无包间团购用户不可同时享受商家其他优惠酒水饮料等问题请致电商家咨询以商家反馈为准如部分菜品因时令或其他不可抗因素导致无法提供店内会用等价菜品替换具体事宜请与店内协商】
【温馨提示无停车位提供免费WiFi本单堂食外带均可商家提供餐后打包服务需另付 2元/个打包盒】
"
单人午夜狂欢自助1份！免费WiFi！,玩味音乐海鲜自助火锅,39384670,仅售52元价值59元单人午夜狂欢自助1份！免费WiFi！,10774,4.8,19,2018/8/27,52,59,【西安市雁塔区小寨十字东北角赛格国际购物广场8楼】,【内容: 单人午夜狂欢自助 规格: 1份 价格: 59元】,随便退,"【有效期2017年08月26日至2018年08月27日】
【可用时间周末法定节假日通用21:30 - 次日01:00】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠每张糯米券限1人使用每次消费不限使用糯米券张数可叠加使用自助餐仅限堂食不提供打包服务部分菜品因时令原因有所不同请以店内当日实际供应为准温馨提示：1.店内锅底（单人单锅）、酒水饮料全部免费让您畅嗨；】
【温馨提示提供免费WiFi】
【有效期2017年08月26日至2018年08月27日】
【可用时间周末法定节假日通用21:30 - 次日01:00】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠每张糯米券限1人使用每次消费不限使用糯米券张数可叠加使用自助餐仅限堂食不提供打包服务部分菜品因时令原因有所不同请以店内当日实际供应为准温馨提示：1.店内锅底（单人单锅）、酒水饮料全部免费让您畅嗨；】
【温馨提示提供免费WiFi】
"
牛儿源鲜切牛肉火锅代金券,牛儿源鲜切牛肉火锅,35820740,仅售85元价值100元代金券！免费WiFi！,503,4.8,47,2018/8/9,85,100,【西安市莲湖区丰庆路与桃源路南路十字西南角】,【内容: 代金券 规格: 1张 价格: 100元】,随便退,"【有效期2016年11月13日至2018年08月09日】
【可用时间周末法定节假日通用11:00 - 22:00周末、法定节假日通用】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠每张糯米券不限使用人数每次消费不限使用糯米券张数可叠加使用本单仅限大厅使用代金券不兑现、不找零超出部分到店另付团购用户不可同时享受商家其他优惠酒水饮料等问题请致电商家咨询以商家反馈为准已购买顾客可按原团单接待】
【温馨提示提供收费停车位停车位收费标准：咨询商家提供免费WiFi本单仅限堂食不可外带商家免费提供餐后打包服务】
【有效期2016年11月13日至2018年08月09日】
【可用时间周末法定节假日通用11:00 - 22:00周末、法定节假日通用】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠每张糯米券不限使用人数每次消费不限使用糯米券张数可叠加使用本单仅限大厅使用代金券不兑现、不找零超出部分到店另付团购用户不可同时享受商家其他优惠酒水饮料等问题请致电商家咨询以商家反馈为准已购买顾客可按原团单接待】
【温馨提示提供收费停车位停车位收费标准：咨询商家提供免费WiFi本单仅限堂食不可外带商家免费提供餐后打包服务】
"
牛儿源牛肉火锅50元代金券,牛儿源鲜切牛肉火锅,36602359,仅售42.9元价值50元代金券！免费WiFi！,29,4.9,10,2018/8/9,42.9,50,【西安市莲湖区丰庆路与桃源路南路十字西南角】,【内容: 代金券 规格: 1张 价格: 50元】,随便退,"【有效期2016年12月28日至2018年08月09日】
【可用时间周末法定节假日通用11:00 - 22:00周末、法定节假日通用】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠每张糯米券不限使用人数每次消费不限使用糯米券张数可叠加使用本单仅限大厅使用代金券不兑现、不找零超出部分到店另付团购用户不可同时享受商家其他优惠酒水饮料等问题请致电商家咨询以商家反馈为准】
【温馨提示提供收费停车位停车位收费标准：咨询商家提供免费WiFi本单仅限堂食不可外带商家免费提供餐后打包服务】
【有效期2016年12月28日至2018年08月09日】
【可用时间周末法定节假日通用11:00 - 22:00周末、法定节假日通用】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠每张糯米券不限使用人数每次消费不限使用糯米券张数可叠加使用本单仅限大厅使用代金券不兑现、不找零超出部分到店另付团购用户不可同时享受商家其他优惠酒水饮料等问题请致电商家咨询以商家反馈为准】
【温馨提示提供收费停车位停车位收费标准：咨询商家提供免费WiFi本单仅限堂食不可外带商家免费提供餐后打包服务】
"
石记铜盘火锅双人餐,石记铜盘火锅(李家村万达店),3861572,仅售78元。价值171元双人餐！节假日通用 免费WiFi！,1406,4.7,429,2018/8/27,78,171,【西安市碑林区李家村万达广场一栋一单元2325室（雅居酒店楼上）】【西安市雁塔区小寨东路百隆广场B座16层C室】,【内容: 铜盘清汤锅底 规格: 1份 价格: 15元】,随便退,"【有效期2015年06月04日至2018年08月27日】
【可用时间周末法定节假日通用11:00 - 23:00】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠每张糯米券限2人使用超出收费标准：按当时店内实际价格收取费用或者另购买糯米券每次消费不限使用糯米券张数可叠加使用仅限大厅使用无包间】
【温馨提示提供收费停车位收费标准咨询商家提供免费WiFi本单仅限堂食不可外带商家不提供餐后打包服务】
【有效期2015年06月04日至2018年08月27日】
【可用时间周末法定节假日通用11:00 - 23:00】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠每张糯米券限2人使用超出收费标准：按当时店内实际价格收取费用或者另购买糯米券每次消费不限使用糯米券张数可叠加使用仅限大厅使用无包间】
【温馨提示提供收费停车位收费标准咨询商家提供免费WiFi本单仅限堂食不可外带商家不提供餐后打包服务】
"
6人餐！节假日通用提供免费WiFi免费WiFi！,石记铜盘火锅(李家村万达店),3862568,仅售168元价值262元6人餐！节假日通用提供免费WiFi免费WiFi！,170,4.6,47,2018/8/29,168,262,【西安市碑林区李家村万达广场一栋一单元2325室（雅居酒店楼上）】【西安市雁塔区小寨东路百隆广场B座16层C室】,【内容: 铜盘清汤锅底 规格: 1份 价格: 15元】,随便退,"【有效期2015年06月05日至2018年08月29日】
【可用时间周末法定节假日通用11:00 - 23:00】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠每张糯米券限6人使用超出收费标准：按当时店内实际价格收取费用或者另购买糯米券每次消费不限使用糯米券张数可叠加使用仅限大厅使用无包间】
【温馨提示无停车位提供免费WiFi本单仅限堂食不可外带商家不提供餐后打包服务】
【有效期2015年06月05日至2018年08月29日】
【可用时间周末法定节假日通用11:00 - 23:00】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠每张糯米券限6人使用超出收费标准：按当时店内实际价格收取费用或者另购买糯米券每次消费不限使用糯米券张数可叠加使用仅限大厅使用无包间】
【温馨提示无停车位提供免费WiFi本单仅限堂食不可外带商家不提供餐后打包服务】
"
